,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
0,2,2,0,0,10,5,2011,0,2,20.466666699999998,44.8
1,3,2,0,0,10,5,2011,1,2,20.466666699999998,44.8
2,4,2,0,0,10,5,2011,1,1,20.466666699999998,44.8
3,7,2,0,0,10,5,2011,0,0,20.466666699999998,44.8
4,8,2,0,0,10,5,2011,1,1,20.466666699999998,44.8
5,9,2,0,0,10,5,2011,0,1,20.466666699999998,44.8
6,10,2,0,0,10,5,2011,0,1,20.466666699999998,44.8
7,11,2,0,0,10,5,2011,0,0,20.466666699999998,44.8
8,12,2,0,0,10,5,2011,0,1,20.466666699999998,44.8
9,16,2,0,0,10,5,2011,1,1,20.466666699999998,44.8
10,19,2,0,0,10,5,2011,0,1,20.466666699999998,44.8
11,21,2,0,0,10,5,2011,1,1,20.466666699999998,44.8
12,23,2,0,0,10,5,2011,0,0,20.466666699999998,44.8
13,24,2,0,0,10,5,2011,0,0,20.466666699999998,44.8
14,8,4,0,0,22,5,2011,1,1,20.9333333,44.033333299999995
15,7,4,0,0,22,5,2011,0,0,20.9333333,44.033333299999995
16,6,4,1,3,22,5,2011,1,0,20.9333333,44.033333299999995
17,5,4,0,1,22,5,2011,0,2,20.9333333,44.033333299999995
18,1,4,0,0,22,5,2011,0,0,20.9333333,44.033333299999995
19,3,4,0,0,22,5,2011,1,2,20.9333333,44.033333299999995
20,2,4,0,0,22,5,2011,0,2,20.9333333,44.033333299999995
21,9,4,0,0,22,5,2011,0,1,20.9333333,44.033333299999995
22,10,4,0,0,22,5,2011,0,1,20.9333333,44.033333299999995
23,12,4,0,0,22,5,2011,0,1,20.9333333,44.033333299999995
24,11,4,0,1,22,5,2011,0,0,20.9333333,44.033333299999995
25,13,4,1,1,22,5,2011,0,1,20.9333333,44.033333299999995
26,4,4,0,0,22,5,2011,1,1,20.9333333,44.033333299999995
27,1,10,1,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
28,2,10,1,0,11,5,2011,0,2,22.284722199999997,43.904166700000005
29,3,10,0,0,11,5,2011,1,2,22.284722199999997,43.904166700000005
30,4,10,0,0,11,5,2011,1,1,22.284722199999997,43.904166700000005
31,5,10,3,0,11,5,2011,0,2,22.284722199999997,43.904166700000005
32,6,10,0,0,11,5,2011,1,0,22.284722199999997,43.904166700000005
33,7,10,1,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
34,8,10,0,0,11,5,2011,1,1,22.284722199999997,43.904166700000005
35,9,10,0,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
36,10,10,0,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
37,11,10,0,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
38,12,10,1,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
39,13,10,0,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
40,14,10,0,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
41,15,10,0,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
42,16,10,0,0,11,5,2011,1,1,22.284722199999997,43.904166700000005
43,17,10,1,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
44,18,10,0,0,11,5,2011,2,2,22.284722199999997,43.904166700000005
45,19,10,1,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
46,20,10,0,0,11,5,2011,0,1,22.284722199999997,43.904166700000005
47,21,10,0,0,11,5,2011,1,1,22.284722199999997,43.904166700000005
48,22,10,3,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
49,23,10,0,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
50,24,10,0,0,11,5,2011,0,0,22.284722199999997,43.904166700000005
51,25,10,0,0,11,5,2011,1,2,22.284722199999997,43.904166700000005
52,1,6,1,0,10,4,2011,0,0,19.5263889,45.6088889
53,2,6,1,0,10,4,2011,0,2,19.5263889,45.6088889
54,3,6,0,0,10,4,2011,1,2,19.5263889,45.6088889
55,4,6,0,0,10,4,2011,1,1,19.5263889,45.6088889
56,5,6,3,0,10,4,2011,0,2,19.5263889,45.6088889
57,6,6,0,0,10,4,2011,1,0,19.5263889,45.6088889
58,7,6,1,0,10,4,2011,0,0,19.5263889,45.6088889
59,8,6,0,0,10,4,2011,1,1,19.5263889,45.6088889
60,9,6,0,0,10,4,2011,0,1,19.5263889,45.6088889
61,10,6,0,0,10,4,2011,0,1,19.5263889,45.6088889
62,11,6,0,0,10,4,2011,0,0,19.5263889,45.6088889
63,12,6,1,0,10,4,2011,0,1,19.5263889,45.6088889
64,13,6,0,0,10,4,2011,0,1,19.5263889,45.6088889
